t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.56500,1,200.000,28.575,28.575,0.0,Stationary
0.57000,1,200.000,28.575,28.575,0.0,Stationary
0.57500,1,200.000,28.575,28.575,0.0,Stationary
0.58000,1,200.000,28.575,28.575,0.0,Stationary
0.58500,1,200.000,28.575,28.575,0.0,Stationary
0.59000,1,205.621,28.767,28.600,1257.8,Airborne
0.59500,1,211.906,28.982,28.579,1257.7,Airborne
0.60000,1,218.190,29.197,28.575,1256.8,Sliding
0.60500,1,224.446,29.412,28.575,1247.0,Sliding
0.61000,1,230.653,29.624,28.575,1237.2,Sliding
0.61500,1,236.811,29.835,28.575,1227.4,Sliding
0.62000,1,242.920,30.044,28.575,1217.6,Sliding
0.62500,1,248.979,30.251,28.575,1207.8,Sliding
0.63000,1,254.990,30.457,28.575,1198.0,Sliding
0.63500,1,260.952,30.661,28.575,1188.2,Sliding
0.64000,1,266.865,30.863,28.575,1178.4,Sliding
0.64500,1,272.729,31.064,28.575,1168.5,Sliding
0.65000,1,278.544,31.263,28.575,1158.7,Sliding
0.65500,1,284.309,31.460,28.575,1148.9,Sliding
0.66000,1,290.026,31.656,28.575,1139.1,Sliding
0.66500,1,295.694,31.850,28.575,1129.3,Sliding
0.67000,1,301.313,32.042,28.575,1119.5,Sliding
0.67500,1,306.883,32.233,28.575,1109.7,Sliding
0.68000,1,312.403,32.422,28.575,1099.9,Sliding
0.68500,1,317.875,32.609,28.575,1090.1,Sliding
0.69000,1,323.298,32.794,28.575,1080.3,Sliding
0.69500,1,328.672,32.978,28.575,1070.5,Sliding
0.70000,1,333.996,33.161,28.575,1060.7,Sliding
0.70500,1,339.272,33.341,28.575,1050.9,Sliding
0.71000,1,344.499,33.520,28.575,1041.1,Sliding
0.71500,1,349.677,33.697,28.575,1031.3,Sliding
0.72000,1,354.806,33.873,28.575,1021.4,Sliding
0.72500,1,359.885,34.047,28.575,1011.6,Sliding
0.73000,1,364.916,34.219,28.575,1001.8,Sliding
0.73500,1,369.898,34.389,28.575,992.0,Sliding
0.74000,1,374.830,34.558,28.575,982.2,Sliding
0.74500,1,379.714,34.725,28.575,972.4,Sliding
0.75000,1,384.549,34.891,28.575,962.6,Sliding
0.75500,1,389.335,35.054,28.575,952.8,Sliding
0.76000,1,394.071,35.216,28.575,943.0,Sliding
0.76500,1,398.759,35.377,28.575,933.2,Sliding
0.77000,1,403.398,35.536,28.575,923.4,Sliding
0.77500,1,407.988,35.693,28.575,913.6,Sliding
0.78000,1,412.528,35.848,28.575,903.8,Sliding
0.78500,1,417.020,36.002,28.575,894.0,Sliding
0.79000,1,421.463,36.154,28.575,884.2,Sliding
0.79500,1,425.856,36.304,28.575,874.3,Sliding
0.80000,1,430.201,36.453,28.575,865.5,Rolling
0.80500,1,434.525,36.601,28.575,865.0,Rolling
0.81000,1,438.846,36.749,28.575,864.5,Rolling
0.81500,1,443.165,36.896,28.575,864.0,Rolling
0.82000,1,447.481,37.044,28.575,863.5,Rolling
0.82500,1,451.795,37.192,28.575,863.0,Rolling
0.83000,1,456.107,37.339,28.575,862.5,Rolling
0.83500,1,460.416,37.487,28.575,862.1,Rolling
0.84000,1,464.722,37.634,28.575,861.6,Rolling
0.84500,1,469.026,37.781,28.575,861.1,Rolling
0.85000,1,473.328,37.929,28.575,860.6,Rolling
0.85500,1,477.627,38.076,28.575,860.1,Rolling
0.86000,1,481.924,38.223,28.575,859.6,Rolling
0.86500,1,486.218,38.370,28.575,859.1,Rolling
0.87000,1,490.510,38.517,28.575,858.6,Rolling
0.87500,1,494.799,38.663,28.575,858.1,Rolling
0.88000,1,499.086,38.810,28.575,857.6,Rolling
0.88500,1,503.371,38.957,28.575,857.2,Rolling
0.89000,1,507.653,39.103,28.575,856.7,Rolling
0.89500,1,511.932,39.250,28.575,856.2,Rolling
0.90000,1,516.209,39.396,28.575,855.7,Rolling
0.90500,1,520.484,39.542,28.575,855.2,Rolling
0.91000,1,524.756,39.689,28.575,854.7,Rolling
0.91500,1,529.026,39.835,28.575,854.2,Rolling
0.92000,1,533.294,39.981,28.575,853.7,Rolling
0.92500,1,537.558,40.127,28.575,853.2,Rolling
0.93000,1,541.821,40.273,28.575,852.7,Rolling
0.93500,1,546.081,40.418,28.575,852.3,Rolling
0.94000,1,550.338,40.564,28.575,851.8,Rolling
0.94500,1,554.593,40.710,28.575,851.3,Rolling
0.95000,1,558.846,40.855,28.575,850.8,Rolling
0.95500,1,563.096,41.001,28.575,850.3,Rolling
0.96000,1,567.344,41.146,28.575,849.8,Rolling
0.96500,1,571.589,41.291,28.575,849.3,Rolling
0.97000,1,575.832,41.437,28.575,848.8,Rolling
0.97500,1,580.072,41.582,28.575,848.3,Rolling
0.98000,1,584.310,41.727,28.575,847.8,Rolling
0.98500,1,588.546,41.872,28.575,847.3,Rolling
0.99000,1,592.779,42.017,28.575,846.9,Rolling
0.99500,1,597.010,42.161,28.575,846.4,Rolling
1.00000,1,601.238,42.306,28.575,845.9,Rolling
1.00500,1,605.463,42.451,28.575,845.4,Rolling
1.01000,1,609.687,42.595,28.575,844.9,Rolling
1.01500,1,613.907,42.740,28.575,844.4,Rolling
1.02000,1,618.126,42.884,28.575,843.9,Rolling
1.02500,1,622.342,43.028,28.575,843.4,Rolling
1.03000,1,626.555,43.172,28.575,842.9,Rolling
1.03500,1,630.766,43.316,28.575,842.4,Rolling
1.04000,1,634.974,43.461,28.575,842.0,Rolling
1.04500,1,639.181,43.604,28.575,841.5,Rolling
1.05000,1,643.384,43.748,28.575,841.0,Rolling
1.05500,1,647.585,43.892,28.575,840.5,Rolling
1.06000,1,651.784,44.036,28.575,840.0,Rolling
1.06500,1,655.980,44.179,28.575,839.5,Rolling
1.07000,1,660.174,44.323,28.575,839.0,Rolling
1.07500,1,664.366,44.466,28.575,838.5,Rolling
1.08000,1,668.555,44.610,28.575,838.0,Rolling
1.08500,1,672.741,44.753,28.575,837.5,Rolling
1.09000,1,676.925,44.896,28.575,837.1,Rolling
1.09500,1,681.107,45.039,28.575,836.6,Rolling
1.10000,1,685.286,45.182,28.575,836.1,Rolling
1.10500,1,689.462,45.325,28.575,835.6,Rolling
1.11000,1,693.637,45.468,28.575,835.1,Rolling
1.11500,1,697.808,45.611,28.575,834.6,Rolling
1.12000,1,701.978,45.753,28.575,834.1,Rolling
1.12500,1,706.145,45.896,28.575,833.6,Rolling
1.13000,1,710.309,46.039,28.575,833.1,Rolling
1.13500,1,714.471,46.181,28.575,832.6,Rolling
1.14000,1,718.631,46.323,28.575,832.1,Rolling
1.14500,1,722.788,46.466,28.575,831.7,Rolling
1.15000,1,726.942,46.608,28.575,831.2,Rolling
1.15500,1,731.094,46.750,28.575,830.7,Rolling
1.16000,1,735.244,46.892,28.575,830.2,Rolling
1.16500,1,739.391,47.034,28.575,829.7,Rolling
1.17000,1,743.536,47.176,28.575,829.2,Rolling
1.17500,1,747.679,47.317,28.575,828.7,Rolling
1.18000,1,751.819,47.459,28.575,828.2,Rolling
1.18500,1,755.956,47.601,28.575,827.7,Rolling
1.19000,1,760.091,47.742,28.575,827.2,Rolling
1.19500,1,764.224,47.884,28.575,826.8,Rolling
1.20000,1,768.354,48.025,28.575,826.3,Rolling
1.20500,1,772.481,48.166,28.575,825.8,Rolling
1.21000,1,776.607,48.307,28.575,825.3,Rolling
1.21500,1,780.729,48.448,28.575,824.8,Rolling
1.22000,1,784.850,48.589,28.575,824.3,Rolling
1.22500,1,788.968,48.730,28.575,823.8,Rolling
1.23000,1,793.083,48.871,28.575,823.3,Rolling
1.23500,1,797.196,49.012,28.575,822.8,Rolling
1.24000,1,801.306,49.153,28.575,822.3,Rolling
1.24500,1,805.415,49.293,28.575,821.8,Rolling
1.25000,1,809.520,49.434,28.575,821.4,Rolling
1.25500,1,813.623,49.574,28.575,820.9,Rolling
1.26000,1,817.724,49.714,28.575,820.4,Rolling
1.26500,1,821.822,49.855,28.575,819.9,Rolling
1.27000,1,825.918,49.995,28.575,819.4,Rolling
1.27500,1,830.012,50.135,28.575,818.9,Rolling
1.28000,1,834.102,50.275,28.575,818.4,Rolling
1.28500,1,838.191,50.415,28.575,817.9,Rolling
1.29000,1,842.277,50.555,28.575,817.4,Rolling
1.29500,1,846.360,50.694,28.575,816.9,Rolling
1.30000,1,850.442,50.834,28.575,816.5,Rolling
1.30500,1,854.520,50.974,28.575,816.0,Rolling
1.31000,1,858.596,51.113,28.575,815.5,Rolling
1.31500,1,862.670,51.253,28.575,815.0,Rolling
1.32000,1,866.742,51.392,28.575,814.5,Rolling
1.32500,1,870.810,51.531,28.575,814.0,Rolling
1.33000,1,874.877,51.670,28.575,813.5,Rolling
1.33500,1,878.941,51.809,28.575,813.0,Rolling
1.34000,1,883.002,51.948,28.575,812.5,Rolling
1.34500,1,887.061,52.087,28.575,812.0,Rolling
1.35000,1,891.118,52.226,28.575,811.6,Rolling
1.35500,1,895.172,52.365,28.575,811.1,Rolling
1.36000,1,899.224,52.504,28.575,810.6,Rolling
1.36500,1,903.273,52.642,28.575,810.1,Rolling
1.37000,1,907.320,52.781,28.575,809.6,Rolling
1.37500,1,911.364,52.919,28.575,809.1,Rolling
1.38000,1,915.406,53.057,28.575,808.6,Rolling
1.38500,1,919.446,53.196,28.575,808.1,Rolling
1.39000,1,923.483,53.334,28.575,807.6,Rolling
1.39500,1,927.517,53.472,28.575,807.1,Rolling
1.40000,1,931.549,53.610,28.575,806.6,Rolling
1.40500,1,935.579,53.748,28.575,806.2,Rolling
1.41000,1,939.606,53.885,28.575,805.7,Rolling
1.41500,1,943.631,54.023,28.575,805.2,Rolling
1.42000,1,947.653,54.161,28.575,804.7,Rolling
1.42500,1,951.673,54.298,28.575,804.2,Rolling
1.43000,1,955.691,54.436,28.575,803.7,Rolling
1.43500,1,959.706,54.573,28.575,803.2,Rolling
1.44000,1,963.718,54.711,28.575,802.7,Rolling
1.44500,1,967.728,54.848,28.575,802.2,Rolling
1.45000,1,971.736,54.985,28.575,801.7,Rolling
1.45500,1,975.741,55.122,28.575,801.3,Rolling
1.46000,1,979.744,55.259,28.575,800.8,Rolling
1.46500,1,983.744,55.396,28.575,800.3,Rolling
1.47000,1,987.742,55.533,28.575,799.8,Rolling
1.47500,1,991.737,55.669,28.575,799.3,Rolling
1.48000,1,995.730,55.806,28.575,798.8,Rolling
1.48500,1,999.720,55.943,28.575,798.3,Rolling
1.49000,1,1003.708,56.079,28.575,797.8,Rolling
1.49500,1,1007.694,56.216,28.575,797.3,Rolling
1.50000,1,1011.677,56.352,28.575,796.8,Rolling
1.50500,1,1015.658,56.488,28.575,796.4,Rolling
1.51000,1,1019.636,56.624,28.575,795.9,Rolling
1.51500,1,1023.612,56.760,28.575,795.4,Rolling
1.52000,1,1027.585,56.896,28.575,794.9,Rolling
1.52500,1,1031.556,57.032,28.575,794.4,Rolling
1.53000,1,1035.524,57.168,28.575,793.9,Rolling
1.53500,1,1039.490,57.304,28.575,793.4,Rolling
1.54000,1,1043.454,57.439,28.575,792.9,Rolling
1.54500,1,1047.415,57.575,28.575,792.4,Rolling
1.55000,1,1051.373,57.710,28.575,791.9,Rolling
1.55500,1,1055.330,57.846,28.575,791.4,Rolling
1.56000,1,1059.283,57.981,28.575,791.0,Rolling
1.56500,1,1063.235,58.116,28.575,790.5,Rolling
1.57000,1,1067.183,58.251,28.575,790.0,Rolling
1.57500,1,1071.130,58.386,28.575,789.5,Rolling
1.58000,1,1075.074,58.521,28.575,789.0,Rolling
1.58500,1,1079.015,58.656,28.575,788.5,Rolling
1.59000,1,1082.954,58.791,28.575,788.0,Rolling
1.59500,1,1086.891,58.926,28.575,787.5,Rolling
1.60000,1,1090.825,59.060,28.575,787.0,Rolling
1.60500,1,1094.756,59.195,28.575,786.5,Rolling
1.61000,1,1098.686,59.329,28.575,786.1,Rolling
