seq,t,group,kind,ball,detail
175,2.188567,181,kick,1,Landing
176,2.188567,182,kick,1,Landing
177,2.188567,183,kick,1,Landing
178,2.188567,184,kick,1,Landing
179,2.188567,185,kick,1,Landing
180,2.188567,186,kick,1,Landing
181,2.285210,188,slide_to_roll,1,
182,3.887503,189,rail_contact,1,left_long
183,3.893214,191,kick,1,Landing
184,3.896641,192,kick,1,Landing
185,3.898697,193,kick,1,Landing
186,3.899931,194,kick,1,Landing
187,3.900671,195,kick,1,Landing
188,3.901116,196,kick,1,Landing
189,3.901382,197,kick,1,Landing
190,3.901542,198,kick,1,Landing
191,3.901638,199,kick,1,Landing
192,3.901695,200,kick,1,Landing
193,3.901730,201,kick,1,Landing
194,3.901751,202,kick,1,Landing
195,3.901763,203,kick,1,Landing
196,3.901771,204,kick,1,Landing
197,3.901775,205,kick,1,Landing
198,3.901778,206,kick,1,Landing
199,3.901779,207,kick,1,Landing
200,3.901780,208,kick,1,Landing
201,3.901781,209,kick,1,Landing
202,3.901781,210,kick,1,Landing
203,3.901781,211,kick,1,Landing
204,3.901782,212,kick,1,Landing
205,3.901782,213,kick,1,Landing
206,3.901782,214,kick,1,Landing
207,3.901782,215,kick,1,Landing
208,3.901782,216,kick,1,Landing
209,3.901782,217,kick,1,Landing
210,3.901782,218,kick,1,Landing
211,3.901782,219,kick,1,Landing
212,3.901782,220,kick,1,Landing
213,3.901782,221,kick,1,Landing
214,3.901782,222,kick,1,Landing
215,3.901782,223,kick,1,Landing
216,3.941610,225,slide_to_roll,1,
217,5.076842,226,roll_to_stop,1,
218,5.210241,227,roll_to_stop,0,
219,5.298007,228,spin_down,0,
