t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.23500,0,21.361,31.207,28.575,2137.7,Rolling
0.23500,1,200.000,200.000,28.575,0.0,Stationary
0.24000,0,29.763,37.811,28.575,2137.2,Rolling
0.24000,1,200.000,200.000,28.575,0.0,Stationary
0.24500,0,38.163,44.414,28.575,2136.7,Rolling
0.24500,1,200.000,200.000,28.575,0.0,Stationary
0.25000,0,46.562,51.016,28.575,2136.2,Rolling
0.25000,1,200.000,200.000,28.575,0.0,Stationary
0.25500,0,54.958,57.616,28.575,2135.7,Rolling
0.25500,1,200.000,200.000,28.575,0.0,Stationary
0.26000,0,63.352,64.214,28.575,2135.2,Rolling
0.26000,1,200.000,200.000,28.575,0.0,Stationary
0.26500,0,71.745,70.811,28.575,2134.7,Rolling
0.26500,1,200.000,200.000,28.575,0.0,Stationary
0.27000,0,80.136,77.406,28.575,2134.2,Rolling
0.27000,1,200.000,200.000,28.575,0.0,Stationary
0.27500,0,88.524,84.000,28.575,2133.7,Rolling
0.27500,1,200.000,200.000,28.575,0.0,Stationary
0.28000,0,96.911,90.592,28.575,2133.3,Rolling
0.28000,1,200.000,200.000,28.575,0.0,Stationary
0.28500,0,105.296,97.183,28.575,2132.8,Rolling
0.28500,1,200.000,200.000,28.575,0.0,Stationary
0.29000,0,113.679,103.772,28.575,2132.3,Rolling
0.29000,1,200.000,200.000,28.575,0.0,Stationary
0.29500,0,122.059,110.360,28.575,2131.8,Rolling
0.29500,1,200.000,200.000,28.575,0.0,Stationary
0.30000,0,130.439,116.946,28.575,2131.3,Rolling
0.30000,1,200.000,200.000,28.575,0.0,Stationary
0.30500,0,138.816,123.531,28.575,2130.8,Rolling
0.30500,1,200.000,200.000,28.575,0.0,Stationary
0.31000,0,147.191,130.114,28.575,2130.3,Rolling
0.31000,1,200.000,200.000,28.575,0.0,Stationary
0.31500,0,155.564,136.696,28.575,2129.8,Rolling
0.31500,1,200.000,200.000,28.575,0.0,Stationary
0.32000,0,163.935,143.276,28.575,2129.3,Rolling
0.32000,1,200.000,200.000,28.575,0.0,Stationary
0.32500,0,172.305,149.855,28.575,2128.8,Rolling
0.32500,1,200.000,200.000,28.575,0.0,Stationary
0.33000,0,176.208,148.134,28.602,851.8,Airborne
0.33000,1,204.465,208.299,28.581,1911.0,Airborne
0.33500,0,180.049,146.297,28.577,851.6,Airborne
0.33500,1,208.992,216.713,28.575,1909.4,Sliding
0.34000,0,183.891,144.460,28.575,851.6,Airborne
0.34000,1,213.503,225.099,28.575,1899.6,Sliding
0.34500,0,187.743,142.643,28.575,852.1,Sliding
0.34500,1,217.992,233.441,28.575,1889.8,Sliding
0.35000,0,191.618,140.870,28.575,852.7,Sliding
0.35000,1,222.457,241.741,28.575,1880.0,Sliding
0.35500,0,195.516,139.139,28.575,853.4,Sliding
0.35500,1,226.899,249.997,28.575,1870.2,Sliding
0.36000,0,199.437,137.451,28.575,854.3,Sliding
0.36000,1,231.317,258.210,28.575,1860.4,Sliding
0.36500,0,203.382,135.807,28.575,855.2,Sliding
0.36500,1,235.713,266.380,28.575,1850.5,Sliding
0.37000,0,207.350,134.206,28.575,856.3,Sliding
0.37000,1,240.085,274.507,28.575,1840.7,Sliding
0.37500,0,211.341,132.648,28.575,857.5,Sliding
0.37500,1,244.434,282.590,28.575,1830.9,Sliding
0.38000,0,215.355,131.133,28.575,858.8,Sliding
0.38000,1,248.759,290.631,28.575,1821.1,Sliding
0.38500,0,219.393,129.662,28.575,860.2,Sliding
0.38500,1,253.062,298.628,28.575,1811.3,Sliding
0.39000,0,223.454,128.234,28.575,861.7,Sliding
0.39000,1,257.341,306.582,28.575,1801.5,Sliding
0.39500,0,227.538,126.849,28.575,863.3,Sliding
0.39500,1,261.597,314.493,28.575,1791.7,Sliding
0.40000,0,231.645,125.507,28.575,865.1,Sliding
0.40000,1,265.829,322.361,28.575,1781.9,Sliding
0.40500,0,235.775,124.208,28.575,866.9,Sliding
0.40500,1,270.039,330.185,28.575,1772.1,Sliding
0.41000,0,239.929,122.952,28.575,868.8,Sliding
0.41000,1,274.225,337.967,28.575,1762.3,Sliding
